Date	id	Cost	Clicks	note
08-07-2020	cS6FbzA6	2.12026	27	Maya;45;21478
04-06-2020	paaWjNBJ	1.19771	20	Mckenzie;59;167
18-10-2020	LIEVVULE	0.74669	4	Brody;28;213
01-01-2021	MR9UMUD9	9.96139	33	Jeremy;26;47362
01-04-2020	dI_44ArS	1.31903	17	Allison;33;4233
19-05-2020	Dpg_ATw1	8.26466	40	Christian;57;145059
16-07-2020	BFTuA6VL	4.25366	21	Aubree;54;22
28-07-2020	wuK02lir	2.68119	27	Alyssa;27;2900
18-01-2020	lPHKkcfb	2.28316	6	Hailey;31;373
17-12-2020	uDSdRDCc	7.4657	31	Aliyah;34;379
15-09-2020	1Qk5x9YF	1.96236	25	Londyn;49;1
27-02-2020	ednhuuJV	9.68505	31	Nora;55;19899
27-07-2020	aEUFXlfL	6.98386	31	Benjamin;37;60070
13-12-2020	k2q7jtr3	1.07215	33	Declan;30;1261
27-06-2020	L9NS3Shf	4.02516	42	Claire;29;40081
09-03-2020	zQeGZZZa	0.18216	21	Bryan;23;22575
28-05-2020	pF4Ej8pl	7.87372	23	Joshua;29;20615
24-01-2020	zXJbK8ib	9.67268	24	Leonardo;55;29356
15-03-2020	qsAmpM34	3.92433	21	Leah;40;4748
02-06-2020	FELaC74_	0.25897	48	Justin;27;28843
19-02-2020	w7LEqRQs	8.70489	19	Anthony;40;95608
09-12-2020	Hl79ggdj	2.73042	28	Abraham;44;9736
17-12-2020	GMuGQfTE	6.53088	42	Adam;35;110754
24-03-2020	eQ5S_mme	2.52966	28	Nicole;37;92379
24-12-2020	fcETAJVv	0.85972	35	Autumn;59;360
18-08-2020	3UbNjXx4	8.28414	21	Ivy;44;5553
31-12-2020	3LXEBun7	3.76636	50	Beau;50;2218
04-05-2020	FBUTeXYm	7.23501	20	Blake;58;2375
25-01-2020	_w481cHj	0.24888	8	Avery;35;257
15-07-2020	PSDcnUDJ	0.54391	45	Brady;40;793
08-12-2020	9Zn_E8t2	7.7222	40	Silas;34;1623
12-04-2020	uHB4Psgs	8.34222	15	Hazel;60;4820
10-07-2020	6y8wA2TG	0.00865	4	Marcus;40;26766
30-08-2020	GO8oXcd7	10.47583	19	James;58;111683
04-02-2020	8Kmk4yQX	10.55589	28	Molly;55;3271
28-06-2020	mAdZyjVg	2.22807	44	Abraham;44;9736
11-12-2020	cgeCudwK	9.61181	36	Aliyah;34;379
22-05-2020	96xs755N	0.38693	4	Jaden;40;288
18-04-2020	f8Rmo9PD	2.55887	49	Trinity;49;941
03-10-2020	3rZKiP3d	1.09607	50	Jonathan;28;86751
19-09-2020	Zb332LQX	3.87437	6	Colton;59;88
06-04-2020	dft1fMJh	10.31801	1	Emmanuel;37;44225
10-03-2020	qo8WFBqr	5.89923	44	Adam;35;110754
14-05-2020	6wMaGezV	5.71733	26	Gabriel;27;49480
04-06-2020	iBk7yEOI	10.65916	20	Madeline;29;1777
08-11-2020	RkkYzXNL	3.20736	35	Gabriel;27;49480
01-03-2020	SYSeDnqO	5.93083	1	Jose;69;434656
30-07-2020	jYvPOiFg	6.6772	24	Morgan;39;14918
16-09-2020	gMebwohz	7.42489	16	Parker;52;950
06-08-2020	VFlykF6m	5.67663	4	Rachel;40;27287
24-03-2020	XN0QB3CE	6.91004	48	Bryan;23;22575
17-08-2020	nBR1Wcnr	2.60612	44	Eliana;60;7171
10-06-2020	iyA4tuxu	0.13029	25	Jaden;40;288
25-10-2020	58s6Pvpc	5.7951	46	Peyton;29;343
20-05-2020	fQazG7F9	0.09758	2	Zayden;37;9
08-06-2020	jd2NbVU7	7.64364	5	Liliana;41;23959
12-12-2020	f9inu1ty	2.71757	9	Ryan;43;45355
16-05-2020	hpK1Ukr3	3.45486	10	Leo;47;49991
03-09-2020	FlXwC_Ue	5.48854	13	Avery;35;257
21-02-2020	7aQ8nwbD	9.00328	5	Mia;60;17846
03-09-2020	NX04bpyL	10.77499	28	Jonathan;28;86751
18-06-2020	cvGXx9af	7.34528	9	Kenneth;61;19366
24-05-2020	sHu_Bs5Q	10.14546	43	Marcus;40;26766
18-01-2020	SO8aNvjr	5.95764	32	Londyn;49;1
28-03-2020	bTAw7vsx	5.70749	2	Brayden;34;32
07-02-2020	JtXHoSGv	6.0283	42	Delilah;53;298
18-01-2020	HIyEJtuG	10.97239	22	Tucker;36;169
25-11-2020	nV4Qy7sD	9.9204	2	Zachary;40;2764
15-04-2020	Z1hHNInF	3.71172	22	Ariana;36;3295
30-05-2020	jGsPfyyV	0.12108	15	Adeline;39;18863
28-02-2020	YerWuj6n	7.44141	9	Abigail;27;5496
14-11-2020	15uzjuMQ	2.01441	12	Reagan;38;621
17-01-2020	b94M0j31	4.31482	8	Elliott;62;886
14-10-2020	rnvtmLFK	7.9963	6	Cameron;39;3230
13-12-2020	cilB9P4A	5.49861	24	Jonathan;28;86751
27-02-2020	LLvY5tmG	7.63326	31	Mary;63;140958
09-03-2020	31NqvOOy	6.75042	43	Jordyn;25;60
22-07-2020	XxUjHdQm	7.42615	17	Sawyer;41;434
26-10-2020	hJhGFlW0	4.5765	35	Maria;22;517258
08-05-2020	DgqJbGD6	4.16416	12	Ian;56;25845
06-04-2020	ZGCyUtyP	2.76967	40	Peyton;29;343
09-11-2020	8oZJZwnZ	1.5746	2	Mckenzie;59;167
07-09-2020	NHmHG955	1.57226	11	Reese;45;225
04-02-2020	b2Gq4R_J	6.20158	26	Scarlett;53;1488
29-05-2020	YMwvQ4KG	2.19812	24	Emma;34;54582
02-04-2020	4QVF8c7a	8.66114	26	Scarlett;53;1488
29-05-2020	3bPgjRn1	7.98134	7	Ezra;23;879
16-02-2020	QDgjHSlY	0.10075	42	Julian;32;32113
01-05-2020	PhmS931B	5.8032	2	Jude;53;4256
10-10-2020	03mdE_Ka	10.42898	28	Bentley;37;186
23-10-2020	vo64aPBz	2.17331	36	Elizabeth;33;29973
07-05-2020	X1ZoQH1J	10.33028	2	Alejandro;37;55604
24-04-2020	aFITFoQN	8.63769	13	Abel;51;14842
26-11-2020	_ntkrXTL	9.18465	32	Braxton;50;61
28-04-2020	HnNEeZmW	8.06223	43	Eva;44;125157
01-02-2020	DIS5xqYc	4.79424	30	Olivia;40;21150
25-04-2020	SLjurEcF	5.59031	25	Adrian;31;85284
03-06-2020	_XMvRB9j	5.00104	3	Ryder;65;175
13-04-2020	8JoPtKBc	2.03909	25	Mariah;27;1535
23-11-2020	J38Z6HCf	3.68882	35	Silas;34;1623
28-03-2020	ErHLqMkV	7.25723	17	Jasper;36;4146
13-04-2020	eyt326YR	8.77978	31	Matthew;35;34742
19-01-2020	m5qeGbdt	2.04848	43	Adeline;39;18863
25-09-2020	qyMRmdXH	0.77427	28	Caleb;27;1908
24-03-2020	cXcBZqbZ	6.95365	47	Lydia;30;20027
26-02-2020	nWgDsPQk	4.72479	44	Jude;53;4256
15-04-2020	21dk0f7p	10.46867	36	Katherine;42;8571
02-01-2021	zQulv_Fb	9.32407	31	Kimberly;27;17424
14-08-2020	r2Ubfzel	4.8563	28	Gianna;70;5477
23-10-2020	9iq8bkmR	9.89267	40	Jordan;30;29734
16-04-2020	ayaYXwqx	2.99316	46	Mason;46;948
27-07-2020	uhYJgDaS	8.42804	8	Brooklynn;36;11
22-06-2020	lPW6WPVW	7.07029	45	Xander;40;1410
24-04-2020	e0rlLr3I	5.5347	19	Nevaeh;32;30
24-09-2020	Ixtwjmlq	5.52411	40	Brady;40;793
25-08-2020	Yg78xP4W	4.70238	21	Mia;60;17846
14-10-2020	JVMNDVVJ	9.04432	28	Catherine;67;47464
26-09-2020	fm403Yvt	8.27119	4	Maximus;54;1864
23-11-2020	YXrcic5k	7.32664	32	Piper;49;367
07-09-2020	jAosBpVv	2.65277	43	Cooper;33;776
26-07-2020	Y5Bx54aP	7.56201	41	Samuel;37;57371
21-12-2020	mmZgcXh3	3.11554	22	Quinn;42;359
09-11-2020	xQpRhwIx	3.56421	17	Aurora;51;14866
22-06-2020	TOIMN9iD	1.46933	16	Harper;65;145
09-10-2020	jKhxn1g6	1.78833	47	Reagan;38;621
22-01-2020	aayeB4ro	6.2617	25	Levi;35;2671
24-09-2020	apgYhXiQ	6.765	9	Grayson;44;115
06-02-2020	WUypWWx9	9.77137	36	Peter;58;151057
14-03-2020	184MUfjE	9.99209	41	Aria;44;1702
27-01-2020	QalPkugm	9.12159	37	Allison;33;4233
18-01-2020	KwDr9F6r	0.80662	18	Daniel;43;298097
25-11-2020	k2GbUjTj	7.37826	10	Joel;57;40670
05-08-2020	_NQj21GZ	8.68152	13	Jackson;54;5117
24-08-2020	sGwh2f0D	5.09138	16	London;36;988
15-12-2020	UaJECDfC	1.24998	4	Juan;66;264216
25-06-2020	sgWZWTAe	6.70876	14	Eva;44;125157
24-02-2020	0JjzKyXU	8.50036	44	Wyatt;46;290
31-07-2020	37SGk2Ow	6.39732	27	Victoria;63;32848
24-10-2020	GYnG2GVI	5.01366	22	Anthony;40;95608
17-11-2020	BfxYMaw6	0.23566	17	Brielle;27;30
23-01-2020	eclfS8_M	0.54642	25	Josiah;39;494
10-06-2020	LQgzAH6E	3.86478	39	Alexandra;27;114238
13-12-2020	kVVCJf_M	9.46762	16	Sean;35;25143
18-07-2020	sWnjS3le	8.80962	34	Piper;49;367
22-11-2020	5poRfi9_	6.87455	21	Emmett;61;187
16-04-2020	4qu3bt6q	4.57015	43	Paisley;52;30
23-06-2020	yOYRZyno	1.77198	9	Jasper;36;4146
09-02-2020	2Vxphlah	7.97622	3	Ryker;47;10
15-03-2020	bAOTV9uc	3.3893	40	Mariah;27;1535
25-06-2020	9I2GAdaZ	10.15654	13	Damian;28;42870
29-09-2020	8W0fSYWp	10.81223	46	Morgan;39;14918
26-10-2020	rh2KuVyb	7.81609	18	Asher;63;541
06-09-2020	i0o_hrKU	4.47803	49	Molly;55;3271
25-05-2020	YzlfEDZ5	5.4459	31	Addison;55;185
07-04-2020	pLFZDhU1	1.40032	15	Lucy;45;23795
18-04-2020	5VhjfEbg	3.47842	36	Willow;42;600
28-09-2020	ix7mg_eA	7.14498	42	Mckenzie;59;167
26-01-2020	YGAxmLeb	4.70728	32	Wesley;37;9232
13-07-2020	OZ8uq2OF	4.83247	35	Nicolas;30;113178
02-06-2020	umngZn4G	2.31043	23	Camila;25;8554
12-01-2020	yB6_PUeI	9.56174	35	Abigail;27;5496
07-07-2020	63wg0zGc	4.16656	47	Aaron;31;24308
13-04-2020	0m94IIvm	4.7958	44	Jeremiah;35;2217
28-08-2020	BqIjK1tU	4.673	42	Kingston;35;345
07-04-2020	M_F1nSDs	10.7818	19	Brooke;37;1120
26-09-2020	_T5W4Fw2	8.17898	17	Beckett;28;18
06-06-2020	uRV8laiJ	1.8432	46	Brooklyn;36;368
14-06-2020	Zj43XZwb	7.04406	15	Cayden;46;13
27-08-2020	UQHdgiJn	10.40922	22	Natalie;33;20959
31-03-2020	Vy9lI2WN	0.16955	29	Victoria;63;32848
27-07-2020	66vdKN4K	4.1666	50	Ian;56;25845
11-04-2020	UZuF5F1z	7.30995	29	Everly;37;63
15-11-2020	wun4Lo5W	8.77811	19	Mackenzie;28;241
07-07-2020	hqVto_KX	9.047	5	Jordyn;25;60
25-06-2020	mra0nyOA	2.825	42	Hunter;48;2316
06-10-2020	3Mn8V6yG	2.2261	16	Bella;34;40138
23-07-2020	gWbK40ez	2.03017	8	Eric;62;130170
11-04-2020	a2gerD4B	9.53316	34	Colin;60;11868
05-06-2020	VCrWqKNH	3.12298	24	Dominic;34;9585
22-01-2020	nEm4B0pu	3.75547	24	Nora;55;19899
22-10-2020	HdYGvFTS	1.4983	28	Emmett;61;187
